Date,AAPL,MSFT,TSLA
2025-05-01,213.04063415527344,424.6204528808594,280.5199890136719
2025-05-02,205.08106994628906,434.48236083984375,287.2099914550781
2025-05-05,198.62953186035156,435.3707275390625,280.260009765625
2025-05-06,198.25001525878906,432.5159606933594,275.3500061035156
2025-05-07,195.99298095703125,432.555908203125,276.2200012207031
2025-05-08,197.2313690185547,437.3670654296875,284.82000732421875
2025-05-09,198.27000427246094,437.9260559082031,298.260009765625
2025-05-12,210.7899932861328,448.4367370605469,318.3800048828125
2025-05-13,212.92999267578125,448.3169860839844,334.07000732421875
2025-05-14,212.3300018310547,452.1099853515625,347.67999267578125
2025-05-15,211.4499969482422,453.1300048828125,342.82000732421875
2025-05-16,211.25999450683594,454.2699890136719,349.9800109863281
2025-05-19,208.77999877929688,458.8699951171875,342.0899963378906
2025-05-20,206.86000061035156,458.1700134277344,343.82000732421875
2025-05-21,202.08999633789062,452.57000732421875,334.6199951171875
2025-05-22,201.36000061035156,454.8599853515625,341.0400085449219
2025-05-23,195.27000427246094,450.17999267578125,339.3399963378906
