Date,AAPL,MSFT,TSLA
2025-05-01,208.80618155790114,430.3199808366381,280.010009765625
2025-05-02,205.82009105417706,430.948839257634,284.8999938964844
2025-05-05,202.83402512431957,432.07675654489867,284.57000732421875
2025-05-06,197.9504203457911,431.408009380462,273.1099853515625
2025-05-07,198.90915494694545,433.04500054847074,276.8800048828125
2025-05-08,197.46106353953903,437.12748451655574,279.6300048828125
2025-05-09,198.739389980464,439.19371771814804,290.2099914550781
2025-05-12,210.97000122070312,445.12281367736733,321.989990234375
2025-05-13,210.42999267578125,446.9594623818115,320.0
2025-05-14,212.42999267578125,447.3187935842875,342.5
2025-05-15,210.9499969482422,450.7699890136719,340.3399963378906
2025-05-16,212.36000061035156,452.04998779296875,346.239990234375
2025-05-19,207.91000366210938,450.8800048828125,336.29998779296875
2025-05-20,207.6699981689453,455.5899963378906,347.8699951171875
2025-05-21,205.1699981689453,454.57000732421875,344.42999267578125
2025-05-22,200.7100067138672,454.95001220703125,331.8999938964844
2025-05-23,193.6699981689453,449.9800109863281,337.9200134277344
